PlotID,litterN,litterC,litter_weight,litterCN
1,0.044629968,1.04822444,10.24295455,23.48700829
10,0.008833123,0.266001201,15.84886364,30.11405897
11,0.016112979,0.645073636,8.156590909,40.03441177
12,0.059981337,2.849872271,8.396590909,47.51265009
13,0.35192634,13.75369768,28.33416667,39.08118298
14,2.43E-05,0.001153561,4.455,47.51265009
15,0.25810639,7.84093333,24.28909091,30.37868737
16,0.009459201,0.232158177,3.489545455,24.54310572
17,0.112962243,6.373153705,15.79090909,56.41844159
18,0.042543182,1.782699682,9.627272727,41.90329907
19,0.473879234,14.38481236,31.81147059,30.3554394
2,0.209780978,9.823570156,19.71681818,46.82774512
20,0.209225085,6.647887785,22.75285714,31.77385626
21,0.049896408,1.874934438,5.440434783,37.57654133
22,0.001607457,0.048832423,2.75025,30.37868737
23,0.27114085,8.070527401,24.52928571,29.76507371
24,0.08508195,3.324221733,12.54204545,39.07082203
25,0.080540158,1.929728244,15.04636364,23.95982688
26,0.005313764,0.12480443,4.605681818,23.48700829
27,0.190454175,7.263355493,15.50642857,38.13702436
28,0.062120196,1.987200103,3.375,31.98959821
29,0.106311337,3.229598866,6.5025,30.37868737
3,0.000626357,0.020252776,1.315909091,32.33425651
30,0.260288199,10.07858162,19.5225,38.72085504
31,0.026463885,1.055388026,6.196363636,39.88031305
32,0.027178682,1.522525687,13.62886364,56.01911371
33,0.251271022,8.544744168,13.39295455,34.00608671
34,0.122197959,3.715700021,16.71571429,30.40721847
35,0,0,3.1575,NA
36,0.065771967,1.544786745,15.01363636,23.48700829
37,0,0,9.343636364,NA
38,0,0,11.54857143,NA
39,0.020520176,0.481957532,14.53916667,23.48700829
4,0.040276601,2.272343059,12.45,56.41844159
40,0.000118443,0.002781862,4.416428571,23.48700829
41,0.00303139,0.071198272,1.8615,23.48700829
42,5.65E-05,0.001327707,7.392272727,23.48700829
43,0.003993785,0.179315717,4.352857143,44.89869135
44,0.110042376,3.58127145,12.35318182,32.54447579
45,0.258949445,10.12005064,17.04,39.08118298
46,0.189292226,5.740245994,5.814285714,30.32478472
47,0.104281588,3.843965086,18.63285714,36.86139774
48,0.161672347,6.622898953,17.25285714,40.96494585
49,0.009566368,0.539719588,2.553125,56.41844159
5,0.315238639,9.576536058,29.89342105,30.37868737
50,0.109590026,4.670538796,9.540714286,42.61828334
51,0.077854074,1.829818145,9.444545455,23.50317793
52,0,0,5.535681818,NA
53,0,0,2.628571429,NA
54,0,0,6.27,NA
55,0.001415658,0.043005827,6.045681818,30.37868737
56,0,0,1.395,NA
6,0.096763515,3.739022896,12.13022727,38.64083379
7,0.012323411,0.289440061,5.575227273,23.48700829
8,5.65E-05,0.001327707,2.769545455,23.48700829
9,0.120955449,3.605803858,14.14704545,29.81100791
