"bat_H2.std","bird_H2.std","insect_H2.std","herbs_H2.std","pollen_H2.std","seed_H2.std","spont_tree_H2rare.std","soil_fauna_H2.std","bact_H2.std","fungi_H2.std","BioDiv_meanFunction","PlotID"
0.5,0.364444444444444,0.58759401757664,0.417755425320163,0.382172314864622,0.454643560251993,0.247109349190618,0.883208979155268,0.430991861500164,0.220286790812151,0.448820674311606,1
0.45,0.485925925925927,0.398970561943017,0.170203972876121,0.203182884754502,0.272697669765657,0.58925228499064,0.694333885814474,0.809946881906809,0.621378063873536,0.469589213185068,2
0.5,0.485925925925927,0.823662848969883,0.430216504328747,0.341841712221154,0.392701619486274,0.347208457218368,0.509036022505824,1,0.28232005518038,0.511291314583656,3
0.75,0.728888888888889,0.588929967191312,0.30540541795228,0.507371007371007,0.464343095556297,0.196784495099659,0.533382080437069,0.780374478194534,0.361072143416442,0.521655157410749,4
0.75,0.546666666666667,0.336850010976221,0.661916739980754,0.15567365881997,0.285165102509309,0.2398414271556,0.437084350514806,0.729910012525421,0.320649995536733,0.446375796468548,5
1,0.485925925925927,0.413297932748624,0.38078681207933,0.22851200535046,0.292732611146637,0.199207135777998,0.794255287621104,0.470619836451217,0.761463944402929,0.502680149150423,6
0.5,0.728888888888889,0.627219172036565,0.289829851153529,0.422400979587214,0.607854698453359,0.428036559850237,0.671137434846608,0.305726499167253,0.661864917699821,0.524295900168347,7
0.5,0.75925925925926,0.73037905166529,0.445767496734505,0.157980002627737,0.27253226110871,0,0.662318181537206,0.392423179648779,0.479735175185969,0.440039460776746,8
0.5,0.364444444444444,0.249040082121938,0.376708749003122,0.17132186954886,0.441521838835735,0.319458209448299,0.555796371926675,0.554902145997068,0.504814295325419,0.403800800665156,9
0.75,1,0.773207206054608,0.179142748190367,0.405038548350622,0.269118819025273,0.301618764453254,0.873812347892489,0.639957595910784,0.777263832920907,0.596915986279831,10
0.892857142857142,0.958647342995169,0.34758319496895,0.382516523257265,0.331475604512602,0.302287593808746,0.477920933817861,0.608900729884591,0.931977333619018,0.694262418857481,0.592842881857883,11
0.75,0.414141414141414,0.534733338230079,0.563294100709068,0.339080459770116,0.277263431052915,0.243585508203942,0.832167773368464,0.633524781276488,0.953126051381107,0.554091685813359,12
0.75,0.607407407407407,0.502446669333633,0.466703013931743,0.468686953597848,0.315768695439082,0.304922365378262,0.548172582514778,0.410787756196316,0.454988492110521,0.482988393590959,13
0.5,0.546666666666667,0.476650307974284,0.178096599140175,0.178282714344902,0.278076943681323,0.198436295562163,0.623771244947246,0.365110262092594,0.517915692807484,0.386300672721684,14
0.75,0.82,0.535823224318744,0.187711808771501,0.163965469711826,0.261651308084736,0.376830745512609,0.68305095962012,0.354767050619103,0.292166167038553,0.442596673367719,15
0.75,0.789629629629629,0.304797471990807,0.521568611767655,0.192978859349391,0.2512636415791,0.546856073119701,0.500829869829704,0.273830401822505,0.573263152871264,0.470501771195976,16
0.5,0.984,0.692199275265882,0.399297084046934,1,0.267894421772284,0.296663363065742,0.410288507214295,0.481306790440353,0.649628315578496,0.568127775738399,17
0.75,0,0.252120546770099,0.427646791592371,0.567542434000612,0.26101475857929,0.546856073119701,0.447825536324143,0.488173061472928,0.0906595988924579,0.38318388007516,18
0.666666666666668,0.650793650793651,0.321421655820331,0.96643595709889,0.513640966162947,0.258683855444178,0.549829313952208,0.398260896797927,0.347934300312351,0.765592185958397,0.543925944900755,19
0.666666666666668,0.182222222222222,0.995338982559889,0.414021164021165,0.457890108008696,0.370438292348707,0.248430789560621,0.657171079916743,0.383759494854808,0.523225007583665,0.489916380774318,20
0.75,0,0.296708948251093,0.155975423455833,0.164283606548909,0.424920635050766,0,0.594837752808684,0.217081578271539,0.147696186456885,0.275150413084371,21
0.75,0.182222222222222,0.355996302345792,0.336736223100313,0.167242405209746,0.301066218226154,0.110120030833609,0.807003874748051,0.184363866558515,0.949042678464295,0.41437938217087,22
0.5,0.828282828282829,0.293964544723553,0.184878913171885,0.170536358225441,0.295348207318694,0.476709613478692,0.501450817293742,0.308770852819719,0.499127493951557,0.405906962926611,23
0.892857142857142,0.624761904761905,0.713612548273582,0.543870166201859,0.582067738491401,0.261605299464855,0.586719524281467,0.648448264698905,0.665666817309594,0.39268627559697,0.591229568193768,24
