"Y.NetChange","microclimate_buffer","Kfs","ETmean","litter_weight","decomp.all.t1","soil_decomp_metabo","soil_herbi_metabo","soil_predator_metabo","insect_predator_N","vert_insecti_activity","soilNC","soil_decompact","soilP","PollRate","insect_pollinator_N","invasion_resist","seed_N_native","total_AGB","Tot_BA_inc"
344.44475,0.134408602150538,0.0004769,197.1865577,10.24295455,54.67328371,16.75595,0.13227,5.09236,37,243.47,0.0980560966323539,0.87719298245614,0.0333028143333333,0.323232323,22,45,989,39.61603492,0.923711787
371.85945,0.144927536231884,0.010219,165.3665675,19.71681818,82.32365145,4.96274,0.6114,1.18029,31,374.45,0.08484716277835,0.8,0.680350498,0.216666667,23,100,6,33.32322131,1.229986931
1091.91955,0.146842878120411,0.003791,178.4558227,1.315909091,84.74295191,27.60455,0.32466,12.97477,27,69.08,0.106136718734553,0.934579439252336,0.03957019,0.840490798,73,95,94,33.46953343,0.881647923
-170.9735,0.151057401812689,0.001095,128.4609135,12.45,83.26394671,15.23143,0.04539,1.10329,34,512.8,0.097804667232236,0.884955752212389,0.390843322333333,0.849462366,36,55,10113,34.76393903,0.276761746
4403.12715,0.15527950310559,0.005401,183.4044133,29.89342105,46.9269103,6.06226,0.08235,10.07202,39,147.43,0.0877373095428772,0.826446280991736,0.0227789843333333,0.169642857,28,45,238,39.51093213,4.131645109
-27.81675,0.156985871271586,0.005343,157.2634239,12.13022727,60.54817276,22.69869,0.1512,2.19523,28,496.82,0.0883669950316357,0.840336134453782,0.0694913783333333,0.612903226,19,65,23,57.9826572,1.994081955
-172.850549999999,0.137931034482759,0.01142,153.1141819,5.575227273,18.55241265,17.53858,0.10632,3.38553,31,183.39,0.0935470184570191,1.28205128205128,0.0729592533333333,1.060606061,17,90,146,42.34946002,2.720274105
90.5872500000001,0.174825174825175,0.002866,148.0723817,2.769545455,49.33333333,1.52289,0.0525,2.44392,12,25.51,0.0912760198906022,0.813008130081301,0.0394884733333333,0.25,28,50,129,45.673992,0
267.1805,0.15527950310559,0.00495434,276.8050677,14.14704545,53.73134328,10.37802,0.06516,1.03962,18,352.18,0.0859074971890229,0.806451612903226,0.261609928,0.559322034,35,65,1514,42.751713,1.507683301
-474.86435,0.131233595800525,0.014178132,298.8642113,15.84886364,57.0719603,14.71956,0.2139,5.59937,37,757.086,0.0957289828802172,0.970873786407767,0.0454279423333333,0.385057471,81,65,382,25.60710171,0
-984.4365,0.148148148148148,0.000981482,202.507111,8.156590909,61.31447587,10.59795,0.04344,1.57397,15,1580.57,0.107847863915745,0.840336134453782,0.057978313,0.683673469,41,65,53,46.29602482,0.152108848
661.19935,0.134589502018843,0.0147,364.3231836,8.396590909,61.47473074,27.06269,0.07602,3.55363,16,221.87,0.0890538884352705,0.884955752212389,0.174131694666667,0.850241546,65,88,372,33.52116417,0.243121572
