PlotID,ETmean
1,197.1865577
2,165.3665675
3,178.4558227
4,128.4609135
5,183.4044133
6,157.2634239
7,153.1141819
8,148.0723817
9,276.8050677
10,298.8642113
11,202.507111
12,364.3231836
13,234.4416147
14,167.2472402
15,36.23100203
16,31.05127391
17,358.8782449
18,251.4652046
19,251.8311158
20,230.2357243
21,151.7608116
22,239.4354114
23,36.0747498
24,214.8172424
25,288.1726367
26,398.8488358
27,110.9235352
28,220.2130117
29,286.5417423
30,18.37998104
31,254.4273039
32,350.4094292
33,370.6637122
34,181.5491626
35,280.002868
36,293.607088
37,241.6635238
38,601.7818328
39,562.8687091
40,326.6734503
41,325.4983754
42,247.822557
43,393.1175995
44,531.2626069
45,656.5587713
46,260.6629506
47,281.0570076
48,260.6959824
49,619.7989858
50,484.838656
51,465.1323402
52,318.8069882
53,165.6605172
54,258.4881114
55,39.17045331
56,242.9308924
