"Y.NetChange.std","microclimate_buffer.std","Kfs.std","ETmean.std","litter_weight.std","decomp.all.t1.std","soil_decomp_metabo.std","soil_herbi_metabo.std","soil_predator_metabo.std","insect_predator_N.std","vert_insecti_activity.std","soilNC.std","soil_decompact.std","soilP.std","PollRate.std","insect_pollinator_N.std","invasion_resist.std","seed_N_native.std","total_AGB.std","EF_meanFunction","PlotID"
0.534634766854122,0.721774193548389,0.027127417519909,0.300333445107384,0.321989344095896,0.613929051702952,0.536467646479701,0.216339548577036,0.274069389765104,0.402173913043478,0.090945426020694,0.847039071541433,0.666666666666667,0.0489494965186801,0.210405946111713,0.178861788617886,0.45,0.097794917433007,0.447697075092737,0.367747321299831,1
0.537652654177558,0.778260869565217,0.581285551763368,0.251868644101077,0.619802159859847,0.924416421290948,0.158889794245666,1,0.0635228774175146,0.33695652173913,0.139871502745508,0.732936191129039,0.608,1,0.14103773607136,0.186991869918699,1,0.000593295757935331,0.376582581858118,0.496772035349526,2
0.616918896299578,0.788546255506607,0.215642775881684,0.271804795702681,0.0413658679273274,0.951582867796532,0.883802349053991,0.531010794896958,0.698298489549556,0.293478260869565,0.0258040416869,0.916841999436745,0.710280373831776,0.0581614772331658,0.547111934567816,0.59349593495935,0.95,0.00929496687432018,0.378236041329943,0.4990356907055,3
0.477896075460712,0.81117824773414,0.0622866894197952,0.195657904692439,0.391368263368298,0.934975044042685,0.487657781541501,0.0742394504416094,0.0593787589710746,0.369565217391304,0.191550558440103,0.84486714615435,0.672566371681416,0.574473486066785,0.552951917511432,0.292682926829268,0.55,1,0.392863996961391,0.470324201932016,4
0.981425946944201,0.833850931677018,0.307224118316269,0.279341958887938,0.939705725500067,0.526944635201398,0.19409262706967,0.134690873405299,0.542073297076782,0.423913043478261,0.0550707855515296,0.757902178111187,0.62809917355372,0.0334812488567228,0.110427897485299,0.227642276422764,0.45,0.0235340650647681,0.446509318373466,0.41557526847244,5
0.493655173356709,0.843014128728417,0.303924914675768,0.239526803653259,0.381316143045998,0.679898476229522,0.726733655953397,0.24730127576055,0.1181466641192,0.304347826086957,0.185581412722722,0.763341597281225,0.638655462184875,0.10214055628329,0.398965307505621,0.154471544715447,0.65,0.00227430040541877,0.655256541624252,0.415186936017507,6
0.477689444514524,0.740689655172416,0.649601820250284,0.233207122641635,0.175258394836754,0.208325974445415,0.561524755993898,0.173895976447498,0.182208276934752,0.33695652173913,0.0685032311082888,0.808088251324069,0.974358974358973,0.107237745173714,0.690394511431713,0.138211382113821,0.9,0.014436863443093,0.478587254403369,0.416798745070176,7
0.506689418876237,0.93881118881119,0.163026166097838,0.225527992576831,0.0870612204853746,0.553966480398047,0.0487576779679739,0.0858684985279686,0.131531090306799,0.130434782608696,0.00952896791304023,0.788470659116804,0.617886178861789,0.0580413675736492,0.162735849062745,0.227642276422764,0.5,0.0127558587956096,0.516157476827291,0.303415429012139,8
0.526129300785559,0.833850931677018,0.281816837315131,0.421599832033194,0.444715229683445,0.603351955254568,0.332268356286529,0.10657507360157,0.0559520573933495,0.195652173913043,0.131552799671286,0.742095689677174,0.612903225806452,0.384522284864999,0.364086984409966,0.284552845528455,0.65,0.149708296252348,0.483133077400471,0.400235102713398,9
0.444442915516471,0.704724409448819,0.806492150170648,0.455197956929648,0.498212228043998,0.640863911735357,0.471269472063162,0.349852796859666,0.301356526044708,0.402173913043478,0.282800791901685,0.826936738900438,0.737864077669903,0.0667713810262152,0.250650617924553,0.658536585365854,0.65,0.0377731632552161,0.289383441839141,0.46712121461784,10
