Date,PlotID,PalmID,1,2,3,4,5,6,7,8,
28-Apr-2018,52,6844,42.68,,,,,,,,
28-Apr-2018,52,6845,23.92,25.44,,,,,,,
28-Apr-2018,52,6846,,,,,,,,,
28-Apr-2018,51,6847,11.60,,,,,,,,
28-Apr-2018,51,6848,,,,,,,,,
28-Apr-2018,51,6849,20.95,16.55,26.07,,,,,,
28-Apr-2018,50,6850,,,,,,,,,
28-Apr-2018,50,6851,10.40,16.59,15.64,,,,,,
28-Apr-2018,50,6852,,,,,,,,,
28-Apr-2018,49,6853,,,,,,,,,
28-Apr-2018,49,6854,,,,,,,,,
28-Apr-2018,49,6855,,,,,,,,,
28-Apr-2018,48,6856,,,,,,,,,
28-Apr-2018,48,6857,,,,,,,,,
28-Apr-2018,48,6858,26.58,26.24,30.35,,,,,,
28-Apr-2018,47,6859,17.12,17.52,,,,,,,
28-Apr-2018,47,6860,23.46,,,,,,,,
28-Apr-2018,47,6861,23.00,,,,,,,,
28-Apr-2018,46,6862,,,,,,,,,
28-Apr-2018,46,6863,18.50,19.42,13.14,,,,,,
28-Apr-2018,46,6864,25.16,,,,,,,,
28-Apr-2018,45,6865,,,,,,,,,
28-Apr-2018,45,6866,,,,,,,,,
28-Apr-2018,45,6867,,,,,,,,,
28-Apr-2018,44,6868,17.44,10.12,,,,,,,
28-Apr-2018,44,6869,17.36,,,,,,,,
28-Apr-2018,44,6870,,,,,,,,,
28-Apr-2018,43,6871,18.26,,,,,,,,
28-Apr-2018,43,6872,30.73,23.45,,,,,,,
28-Apr-2018,43,6873,25.47,24.41,25.50,,,,,,
28-Apr-2018,42,6874,27.82,29.48,,,,,,,
28-Apr-2018,42,6875,19.58,,,,,,,,
28-Apr-2018,42,6876,25.18,,,,,,,,
28-Apr-2018,41,6877,,,,,,,,,
28-Apr-2018,41,6878,32.74,,,,,,,,
28-Apr-2018,41,6879,27.62,21.16,24.02,,,,,,
27-Apr-2018,40,6880,,,,,,,,,
27-Apr-2018,40,6881,,,,,,,,,
27-Apr-2018,40,6882,,,,,,,,,
28-Apr-2018,39,6883,16.60,20.58,,,,,,,
28-Apr-2018,39,6884,15.18,17.38,15.64,,,,,,
28-Apr-2018,39,6885,,,,,,,,,
27-Apr-2018,38,6886,,,,,,,,,
27-Apr-2018,38,6887,,,,,,,,,
27-Apr-2018,38,6888,17.33,34.19,,,,,,,
27-Apr-2018,37,6889,28.28,27.47,,,,,,,
27-Apr-2018,37,6890,,,,,,,,,
27-Apr-2018,37,6891,,,,,,,,,
27-Apr-2018,36,6892,19.31,,,,,,,,
27-Apr-2018,36,6893,,,,,,,,,
27-Apr-2018,36,6894,17.62,17.57,8.53,,,,,,
28-Apr-2018,35,6895,,,,,,,,,
28-Apr-2018,35,6896,31.53,28.76,,,,,,,
28-Apr-2018,35,6897,30.40,,,,,,,,
28-Apr-2018,34,6898,12.60,,,,,,,,
28-Apr-2018,34,6899,32.32,29.56,28.70,32.30,,,,,
28-Apr-2018,34,6900,,,,,,,,,
27-Apr-2018,33,6901,,,,,,,,,
27-Apr-2018,33,6902,,,,,,,,,
27-Apr-2018,33,6903,16.18,11.80,,,,,,,
27-Apr-2018,32,6904,25.30,26.62,,,,,,,
27-Apr-2018,32,6905,14.12,,,,,,,,
27-Apr-2018,32,6906,,,,,,,,,
27-Apr-2018,31,6907,,,,,,,,,
27-Apr-2018,31,6908,,,,,,,,,
27-Apr-2018,31,6909,25.14,23.26,,,,,,,
27-Apr-2018,30,6910,,,,,,,,,
27-Apr-2018,30,6911,22.84,25.58,,,,,,,
27-Apr-2018,30,6912,26.50,25.06,17.74,,,,,,
27-Apr-2018,29,6913,17.72,,,,,,,,
27-Apr-2018,29,6914,11.12,11.93,8.33,,,,,,
27-Apr-2018,29,6915,26.01,,,,,,,,
28-Apr-2018,28,6916,,,,,,,,,
28-Apr-2018,28,6917,24.96,20.78,,,,,,,
28-Apr-2018,28,6918,,,,,,,,,
28-Apr-2018,27,6919,,,,,,,,,
28-Apr-2018,27,6920,,,,,,,,,
28-Apr-2018,27,6921,,,,,,,,,
27-Apr-2018,26,6922,18.07,25.64,,,,,,,
27-Apr-2018,26,6923,,,,,,,,,
27-Apr-2018,26,6924,,,,,,,,,
27-Apr-2018,25,6925,30.50,,,,,,,,
27-Apr-2018,25,6926,,,,,,,,,
27-Apr-2018,25,6927,26.48,,,,,,,,
27-Apr-2018,24,6928,21.36,,,,,,,,
27-Apr-2018,24,6929,25.38,23.14,,,,,,,
27-Apr-2018,24,6930,,,,,,,,,
27-Apr-2018,23,6931,,,,,,,,,
27-Apr-2018,23,6932,,,,,,,,,
27-Apr-2018,23,6933,29.12,21.42,,,,,,,
27-Apr-2018,22,6934,48.57,,,,,,,,
27-Apr-2018,22,6935,,,,,,,,,
27-Apr-2018,22,6936,,,,,,,,,
27-Apr-2018,21,6937,28.08,26.19,26.30,,,,,,
27-Apr-2018,21,6938,,,,,,,,,
27-Apr-2018,21,6939,,,,,,,,,
27-Apr-2018,20,6940,,,,,,,,,
27-Apr-2018,20,6941,,,,,,,,,
27-Apr-2018,20,6942,,,,,,,,,
27-Apr-2018,19,6943,31.39,21.33,22.20,,,,,,
27-Apr-2018,19,6944,,,,,,,,,
27-Apr-2018,19,6945,24.42,27.17,,,,,,,
