Date,PlotID,PalmID,1,2,3,4,5,6,7,8,
27-Jan-2018,01,7001,,,,,,,,,
27-Jan-2018,01,7002,,,,,,,,,
27-Jan-2018,01,7003,,,,,,,,,
27-Jan-2018,01,7004,,,,,,,,,
27-Jan-2018,01,7005,,,,,,,,,
27-Jan-2018,01,7006,11.18,37.99,,,,,,,
27-Jan-2018,01,7007,,,,,,,,,
27-Jan-2018,01,7008,,,,,,,,,
27-Jan-2018,01,7009,,,,,,,,,
27-Jan-2018,01,7010,23.04,29.30,,,,,,,
27-Jan-2018,01,7011,,,,,,,,,
27-Jan-2018,01,7012,,,,,,,,,
27-Jan-2018,01,7013,,,,,,,,,
27-Jan-2018,02,7014,,,,,,,,,
27-Jan-2018,03,7015,,,,,,,,,
27-Jan-2018,03,7016,,,,,,,,,
27-Jan-2018,05,7017,26.44,24.74,,,,,,,
27-Jan-2018,05,7018,21.16,22.68,,,,,,,
27-Jan-2018,05,7019,,,,,,,,,
27-Jan-2018,05,7020,,,,,,,,,
27-Jan-2018,05,7021,,,,,,,,,
27-Jan-2018,05,7022,,,,,,,,,
27-Jan-2018,05,7023,,,,,,,,,
27-Jan-2018,05,7024,,,,,,,,,
27-Jan-2018,05,7025,,,,,,,,,
27-Jan-2018,05,7026,24.84,33.12,,,,,,,
27-Jan-2018,05,7027,,,,,,,,,
27-Jan-2018,05,7028,,,,,,,,,
27-Jan-2018,07,7029,17.92,,,,,,,,
27-Jan-2018,07,7030,,,,,,,,,
27-Jan-2018,07,7031,,,,,,,,,
27-Jan-2018,07,7032,,,,,,,,,
27-Jan-2018,07,7033,,,,,,,,,
27-Jan-2018,07,7034,,,,,,,,,
27-Jan-2018,07,7035,,,,,,,,,
27-Jan-2018,07,7036,,,,,,,,,
27-Jan-2018,07,7037,,,,,,,,,
27-Jan-2018,07,7038,,,,,,,,,
27-Jan-2018,07,7039,,,,,,,,,
27-Jan-2018,09,7040,14.80,21.98,,,,,,,
27-Jan-2018,10,7041,26.26,22.89,,,,,,,
27-Jan-2018,12,7042,,,,,,,,,
27-Jan-2018,12,7043,,,,,,,,,
27-Jan-2018,15,7044,,,,,,,,,
27-Jan-2018,15,7045,,,,,,,,,
27-Jan-2018,17,7046,34.68,,,,,,,,
27-Jan-2018,17,7047,,,,,,,,,
27-Jan-2018,19,7048,21.96,22.27,,,,,,,
27-Jan-2018,19,7049,20.59,,,,,,,,
27-Jan-2018,19,7050,,,,,,,,,
27-Jan-2018,20,7051,,,,,,,,,
27-Jan-2018,23,7052,28.81,,,,,,,,
27-Jan-2018,23,7053,,,,,,,,,
27-Jan-2018,23,7054,21.34,18.50,,,,,,,
27-Jan-2018,23,7055,,,,,,,,,
27-Jan-2018,23,7056,,,,,,,,,
27-Jan-2018,23,7057,,,,,,,,,
27-Jan-2018,23,7058,,,,,,,,,
27-Jan-2018,23,7059,,,,,,,,,
27-Jan-2018,23,7060,,,,,,,,,
27-Jan-2018,23,7061,,,,,,,,,
27-Jan-2018,23,7062,,,,,,,,,
27-Jan-2018,23,7063,,,,,,,,,
27-Jan-2018,24,7064,,,,,,,,,
27-Jan-2018,24,7065,,,,,,,,,
27-Jan-2018,24,7066,20.22,23.65,,,,,,,
27-Jan-2018,24,7067,34.55,25.72,,,,,,,
27-Jan-2018,24,7068,,,,,,,,,
27-Jan-2018,24,7069,,,,,,,,,
27-Jan-2018,24,7070,,,,,,,,,
27-Jan-2018,24,7071,,,,,,,,,
27-Jan-2018,24,7072,28.68,28.3,25.85,,,,,,
27-Jan-2018,24,7073,24.42,,,,,,,,
27-Jan-2018,24,7074,,,,,,,,,
27-Jan-2018,26,7075,,,,,,,,,
